# AiClipse Headshots Custom Nodes Manifest
# Format: repo_url|branch|category|description

# Face and Portrait Tools
https://github.com/Gourieff/comfyui-reactor-node|main|face|Advanced face swapping and enhancement
https://github.com/ltdrdata/ComfyUI-Impact-Pack|main|segmentation|Advanced segmentation and detection tools
https://github.com/cubiq/ComfyUI_IPAdapter_plus|main|adapter|IP-Adapter for style transfer
https://github.com/Fannovel16/comfyui_controlnet_aux|main|controlnet|ControlNet preprocessors collection

# UI and Workflow Enhancement
https://github.com/rgthree/rgthree-comfy|main|ui|UI improvements and workflow tools
https://github.com/pythongosssss/ComfyUI-Custom-Scripts|main|scripts|Custom script collection for better UX

# Utility Nodes
https://github.com/WASasquatch/was-node-suite-comfyui|main|utility|WAS node suite for image processing
https://github.com/jags111/efficiency-nodes-comfyui|main|efficiency|Efficiency nodes for optimized workflows
https://github.com/kijai/ComfyUI-KJNodes|main|utility|KJ utility nodes collection

# Advanced Image Processing
https://github.com/BlenderNeko/ComfyUI_ADV_CLIP_emb|main|clip|Advanced CLIP embedding tools
https://github.com/ssitu/ComfyUI_UltimateSDUpscale|main|upscale|Ultimate SD upscaling tools
https://github.com/city96/ComfyUI-GGUF|main|optimization|GGUF model support for optimization

# Portrait Specific
https://github.com/BadCafeCode/masquerade-nodes-comfyui|main|mask|Advanced masking tools for portraits
https://github.com/SeargeDP/SeargeSDXL|main|sdxl|SDXL optimization and tools
